waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,-1.3143,-1.316880176766097,-0.5505500000000001,-0.5514145594146445,0.68875,0.6892466238865755,-1.709,-1.7074474009516019,-1.5708,-1.5738477358151057,0.2565,0.25722313891779114,0.0018199632646779531,0.002456,0.0514
1,-1.3143,-1.3135660574933272,-0.5479,-0.549099743762305,0.6960333333333333,0.6951227952971253,-1.7188999999999999,-1.7155771804792157,-1.5708,-1.5716222526375003,0.2565,0.2559329851761065,0.0015729945428898677,0.001307,0.0166
2,-1.3143,-1.3128551892770097,-0.5424333333333333,-0.5410935984154764,0.7102,0.712077323187507,-1.7385666666666666,-1.7384623560560346,-1.5708,-1.5707992856068773,0.2565,0.25425405626737035,0.0014411716581616575,0.002408,0.019
3,-1.3143,-1.3132467276889974,-0.5363666666666667,-0.5364884595814619,0.7233,0.7207517519263685,-1.7577333333333334,-1.7559306350939334,-1.5708,-1.573101189232495,0.2565,0.253310748385833,0.0020950060860905925,0.001358,0.0226
4,-1.3143,-1.3144930657517953,-0.5297666666666667,-0.5344037476887818,0.7353666666666667,0.736384111283935,-1.7764333333333333,-1.7750934312778452,-1.5708,-1.571837644287952,0.2565,0.25523443623359743,0.0021232319379049036,0.003352,0.0165
5,-1.3143,-1.3118952134684343,-0.5226000000000001,-0.523770265885919,0.7465,0.7438658289638241,-1.7946666666666664,-1.7970666349271536,-1.5708,-1.575065475117204,0.2565,0.25609601649780356,0.002523512956536738,0.003011,0.029
6,-1.3143,-1.3147253679272246,-0.5149666666666667,-0.5158785728327924,0.7566666666666667,0.7566521356020973,-1.8124666666666667,-1.8125077788257007,-1.5708,-1.5702282365292985,0.2565,0.25259175826376706,0.001664115331842967,0.000842,0.0183
7,-1.3143,-1.3142172979568387,-0.5068333333333334,-0.5045982293541617,0.7659333333333334,0.7649082934577223,-1.8298333333333332,-1.8297707818290578,-1.5708,-1.5695661662489038,0.2565,0.2592582471600344,0.001590986171326568,0.001438,0.0206
8,-1.3143,-1.3117783301505426,-0.4982666666666667,-0.49786120656649197,0.7742999999999999,0.7711836406628181,-1.8468,-1.8462511867281135,-1.5708,-1.57001813463412,0.2565,0.25630416619542923,0.001692422946434623,0.002462,0.0226
9,-1.3143,-1.3191935432491537,-0.48923333333333335,-0.49164771198991863,0.7818333333333333,0.7844150286974578,-1.8633666666666666,-1.865205926716975,-1.5708,-1.5650055810024166,0.2565,0.25732956624278047,0.0035139600164968364,0.003798,0.0204
10,-1.3143,-1.3127764795700174,-0.4797666666666667,-0.48176079270511135,0.7885,0.7864175861645644,-1.8795333333333335,-1.881176428356821,-1.5708,-1.5702727074855196,0.2565,0.25767956584683555,0.0015813114166649065,0.003142,0.0265
11,-1.3143,-1.313886259168757,-0.46986666666666665,-0.4680053055349556,0.7943666666666666,0.7979079008325519,-1.8953,-1.896219222218344,-1.5708,-1.571996399932233,0.2565,0.25701443279438546,0.0017662186321913832,0.003231,0.016
12,-1.3143,-1.3126955619685394,-0.4595666666666667,-0.46166547633153504,0.7994,0.7983433271733077,-1.9106333333333332,-1.9131528993464575,-1.5708,-1.570726087110354,0.2565,0.2599168369713798,0.0020866333237836592,0.002868,0.0266
13,-1.3143,-1.3166562873115624,-0.45256666666666673,-0.453305806046715,0.8024999999999999,0.8059202375456436,-1.9207333333333334,-1.9268285815348027,-1.5708,-1.5689434195763639,0.2565,0.2521206239883585,0.003595699226035733,0.001878,0.0153
14,-1.3143,-1.3153465963998114,-0.4525666666666666,-0.4523076893755666,0.8024999999999999,0.7996685114183243,-1.9207333333333334,-1.9238062450251905,-1.5708,-1.5729851309319784,0.2565,0.2561344691794123,0.00198036011397774,0.001999,0.0154
15,-1.3143,-1.316768885609728,-0.4595666666666667,-0.45743275058589195,0.7994,0.797273855640452,-1.9106333333333332,-1.9158396387824175,-1.5708,-1.5751180689009394,0.2565,0.25842318902307204,0.0032817544929564352,0.002697,0.0211
