waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,0.12,0.1205205463585575,0.0,-0.0007075785573258558,0.36,0.35945476677014193,-0.5,-0.4990662467014994,0.0,0.00033700719003055467,0.0,0.0008297639588573287,0.0006761277612438689,0.003052,0.0159
1,0.12,0.12018114050887899,0.0,-0.004094656563836592,0.0,-0.0004895283006455802,-0.5,-0.49700621038251,0.0,0.0016608773508793905,0.0,-0.002084936053422013,0.0023490037041326633,0.004888,0.017
2,0.12,0.11806829478408891,0.0,-0.0005487636959545963,0.36,0.36203180882045466,-0.5,-0.5019396053220135,0.0,-0.0010111539954023542,0.0,-0.004214973084795944,0.0022624239593560147,0.003879,0.0174
3,1.2,1.1987603638038027,0.12,0.1170831059418432,0.36,0.3604017542637493,-0.5,-0.49815291793659944,0.0,-0.0025561598862868244,0.0,0.00293943304629997,0.0021905976155968615,0.005963,0.072
4,1.2,1.1979368903834335,0.12,0.1188755450141824,0.0,0.0037531750174937817,-0.5,-0.5012031102037419,0.0,-0.0005625211252753712,0.0,-0.0013196281559933064,0.0019626710399290666,0.004087,0.0208
5,1.2,1.2032681351108698,0.12,0.12112744095809315,0.36,0.36232682972323255,-0.5,-0.49742655161164906,0.0,-0.002638307340486738,0.0,-0.0032449999031548735,0.0026292994434402852,0.009731,0.0237
6,0.0,0.002965333805953435,0.0,0.004463578013713639,0.36,0.36420823117389217,-0.5,-0.5009655122702827,0.0,0.0008767535487050678,0.0,-0.0017276203514607,0.002918661956164466,0.008351,0.0152
7,0.0,0.0024468914004524,0.0,0.005164633328249771,0.0,0.006886653950569562,-0.5,-0.4974507369622529,0.0,-0.00619803123541202,0.0,-0.0021962340710245222,0.004651603574776968,0.00911,0.0194
8,0.0,0.001229266538494176,0.0,0.001587177872379942,0.36,0.36717433391506615,-0.5,-0.5023661841434787,0.0,-0.0014342002636658835,0.0,-0.004675612923761285,0.0037642708668943073,0.008678,0.015
9,0.12,0.12789644144093953,0.0,-0.0007653105384090707,0.36,0.3703257100705392,-0.5,-0.5000041613342927,0.0,0.0010708619239884858,0.0,-0.0005084610396424722,0.0053379938696887525,0.008697,0.0192
10,0.12,0.12001881704700323,0.0,0.0020010189458834707,0.0,0.00867506970210847,-0.5,-0.49751868199880595,0.0,0.00028894807818357965,0.0,-0.001701136583253339,0.00383830607015867,0.009493,0.0187
11,0.12,0.12622195346495738,0.0,0.0045021470865058,0.36,0.36802551829871505,-0.5,-0.493727627156057,0.0,-0.0020319533026238066,0.0,-0.0015049440744229776,0.005309226705404097,0.008831,0.0269
