waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,0.11525,0.11525008490749582,-0.9494499999999999,-0.9494496135732289,1.4365,1.4365,-1.771,-1.7709976974388164,-1.4703499999999998,-1.4703501305792777,0.0,-4.71579239139745e-08,9.55475252910912e-07,0.0,0.05
1,0.12190000000000001,0.1218319873563745,-0.9761333333333333,-0.9756849276847416,1.4861666666666666,1.4851213333333333,-1.7972666666666666,-1.7969955218025861,-1.4893333333333334,-1.489139062133204,0.0,-2.068593734190727e-08,0.00048471227893540775,0.000338,0.05
2,0.13526666666666667,0.13526467151142552,-1.029,-1.0290295456437906,1.5838666666666665,1.5837088474563898,-1.8512666666666666,-1.8512509407458746,-1.5248,-1.5247951195368445,0.0,2.8173790756093965e-08,6.589758865457884e-05,9.3e-05,0.05
3,0.14743333333333333,0.14743180517976673,-1.0790333333333335,-1.079053453823301,1.6744999999999999,1.6744011861058479,-1.8897000000000002,-1.889692286756403,-1.5426000000000002,-1.5425982265271148,0.0,5.395060656387026e-08,4.129971204675718e-05,5.9e-05,0.05
4,0.15996666666666667,0.15996283810000392,-1.1275000000000002,-1.1274838041477342,1.7604333333333333,1.7602350308123904,-1.9252333333333336,-1.925218990081942,-1.5546,-1.554596942973297,0.0,7.308561552131556e-08,8.146157885762684e-05,9.4e-05,0.05
5,0.17326666666666668,0.17326282301667723,-1.1752,-1.1751780128840885,1.8438999999999999,1.8437259373821855,-1.9627999999999999,-1.9627831963389044,-1.5629333333333333,-1.5629312838708322,0.0,1.3900178272033357e-07,7.197520924595524e-05,8e-05,0.05
6,0.18756666666666666,0.1875563967559222,-1.2218,-1.2217288279147382,1.9236666666666666,1.9233268506636505,-1.996033333333333,-1.996003487266328,-1.5685,-1.5684964673872928,0.0,1.4020726576378437e-07,0.000142331268185269,0.00015,0.05
7,0.20323333333333335,0.20322224829150545,-1.268,-1.2679163658589994,2.0012333333333334,2.0009455940436562,-2.030466666666667,-2.0304353111948656,-1.5724999999999998,-1.5724974768314943,0.0,1.3636582642195893e-07,0.0001230860113254105,0.000123,0.05
8,0.22046666666666667,0.220454684481453,-1.3134,-1.3133167211704968,2.075366666666666,2.0751165948830064,-2.0599333333333334,-2.059911130220738,-1.575,-1.574998427490668,0.0,1.0017573204225823e-07,0.00010809740531760128,0.000107,0.05
9,0.23966666666666667,0.23965350293230606,-1.3587,-1.358616234970678,2.1473999999999998,2.1471718179316017,-2.0901666666666667,-2.0901434903954974,-1.5765333333333331,-1.5765324107151846,0.0,1.3148291805816592e-07,9.982896075734295e-05,9.8e-05,0.05
10,0.2612,0.261185696840505,-1.4038333333333333,-1.4037489222364676,2.2174333333333336,2.217225862903119,-2.1206333333333336,-2.1206085933235115,-1.5772666666666666,-1.577266411612003,0.0,3.8591221850813866e-07,9.218285734168874e-05,8.9e-05,0.05
11,0.28553333333333336,0.28549255978030336,-1.4489333333333334,-1.4487191337585419,2.2853,2.2848373524566234,-2.1509,-2.150844042432005,-1.5772333333333333,-1.5772336276899637,0.0,4.2927499848515146e-07,0.00021004690357098615,0.0002,0.05
12,0.3132,0.3131539127535593,-1.4939333333333333,-1.4937138131002299,2.3508666666666667,2.3504563806792316,-2.180633333333333,-2.1805798535350847,-1.5764333333333334,-1.5764349042422536,0.0,4.997849423396448e-07,0.00019214168594745962,0.000177,0.05
13,0.3449,0.3448393015764693,-1.5388666666666666,-1.538646447272612,2.413866666666667,2.4135233594656795,-2.2095000000000002,-2.209450694531557,-1.5747666666666664,-1.5747699017018222,0.0,1.0457621371040614e-06,0.00016955004309245474,0.00015,0.05
14,0.38136666666666663,0.3812857692007689,-1.5835000000000001,-1.5832829285715206,2.474066666666667,2.4737881882399635,-2.2372666666666667,-2.237221432035576,-1.5721333333333334,-1.5721378518643983,0.0,4.498793847877852e-07,0.00014904218114029122,0.000125,0.05
15,0.4235,0.4232392089297519,-1.6275666666666666,-1.6270374594861672,2.5310333333333337,2.5304212005718845,-2.263733333333333,-2.263625523132858,-1.5683,-1.5683160525236521,0.0,8.138679366178987e-07,0.0003499190680418874,0.000289,0.05
16,0.47236666666666666,0.4719634090560162,-1.6704666666666668,-1.669959378588985,2.5843333333333334,2.5838065160679737,-2.2887666666666666,-2.2886646965204367,-1.563,-1.5630221826253823,0.0,1.0785168597411657e-06,0.00034360477979217843,0.000281,0.05
17,0.5291,0.5284920812835641,-1.7112666666666667,-1.710814134455043,2.6332666666666666,2.6328538201446734,-2.3123,-2.3122045179994255,-1.5557999999999998,-1.5558300948557957,0.0,1.458327967461951e-06,0.00035468705891525295,0.000281,0.05
18,0.5948666666666667,0.5944484314565973,-1.7485,-1.7483563723286006,2.6771333333333334,2.6770202311139792,-2.334366666666667,-2.334331231217307,-1.5462333333333333,-1.5462493796906203,0.0,9.796278837858333e-07,0.0001870186386791808,0.000136,0.05
19,0.6706333333333334,0.6703666380507146,-1.7800666666666667,-1.7800262234886266,2.714933333333333,2.7148985231733236,-2.3551,-2.355087678832996,-1.5337333333333332,-1.533741992919491,0.0,1.460234490744288e-06,0.00011120754136188615,7.5e-05,0.05
20,0.7571,0.7568956794135393,-1.8034,-1.8033893108541819,2.7457,2.7456907366108134,-2.3747333333333334,-2.3747292237598585,-1.5179,-1.517904506478486,0.0,1.180774386194727e-06,8.365162026705339e-05,5.2e-05,0.05
21,0.8543333333333333,0.8541900851952611,-1.8155666666666666,-1.8155653429879934,2.7683,2.768297629246903,-2.3935999999999997,-2.3935990571221715,-1.4986666666666666,-1.498669025424648,0.0,1.1805212603067248e-06,5.8502490039441415e-05,3.5e-05,0.05
22,0.9616333333333333,0.9615356125609148,-1.8140999999999998,-1.8141000555616253,2.7818,2.7817994336695233,-2.4121333333333332,-2.412133465771397,-1.4767333333333335,-1.476734548638993,0.0,1.0469783468973803e-06,3.990042575112223e-05,2.3e-05,0.05
