waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,1.7394,1.740701647457272,-0.7726,-0.7725186776268945,1.7579,1.761098425120396,-2.3183,-2.3179101815804857,-1.57925,-1.5791760371389028,0.0,-1.0278136922255615e-06,0.0014194043729434391,0.002014,0.05
1,1.7174333333333334,1.7190847915396836,-0.7749666666666667,-0.7749039981535021,1.7546333333333333,1.762828932730263,-2.332133333333333,-2.331769220653366,-1.5816666666666668,-1.5816029065515451,0.0,-2.6311245580552734e-08,0.003416521974696538,0.004572,0.05
2,1.6738666666666664,1.6772047203967753,-0.7789666666666667,-0.7789250649410921,1.7465,1.768256255184454,-2.358633333333333,-2.3583582448194904,-1.5861,-1.586053949763088,0.0,-2.694271215443273e-10,0.00898662679925491,0.011778,0.05
3,1.6313666666666666,1.675449797848612,-0.7806333333333333,-0.7805810460592524,1.7341,1.7687640316200066,-2.3814333333333333,-2.380944636391218,-1.5893333333333333,-1.5893060888369757,0.0,9.693228232414154e-06,0.02289526857176298,0.03455,0.05
4,1.5901666666666667,1.6754504139014066,-0.7800333333333334,-0.7800449445705812,1.7169333333333334,1.7685950771569787,-2.4007666666666663,-2.4008155258389783,-1.5915,-1.5914973991922814,0.0,-2.7475933124163604e-06,0.04070678865097723,0.062332,0.05
5,1.5503999999999998,1.6755079055937223,-0.7771333333333333,-0.7772395062098155,1.6950666666666665,1.768127277581454,-2.4166666666666665,-2.418543487796274,-1.5927333333333333,-1.592707831597154,0.0,-5.674098828612816e-05,0.059151470127405834,0.091053,0.05
6,1.5121000000000002,1.675542876665349,-0.7719333333333335,-0.7720437888503631,1.6685333333333332,1.7675029263488686,-2.4292000000000002,-2.4311994546829725,-1.5931666666666666,-1.5931420199743163,0.0,-5.866798224507304e-05,0.07800915367565019,0.120637,0.05
7,1.4753333333333334,1.6755830706329822,-0.7644000000000001,-0.7645147144414237,1.6374000000000002,1.766610104764995,-2.4384333333333332,-2.44053561590713,-1.592933333333333,-1.5929080727176452,0.0,-6.06432015676669e-05,0.09729649319569457,0.15091,0.05
8,1.4401333333333335,1.675613263541765,-0.7545333333333333,-0.7546423754081534,1.6016666666666666,1.7653871876906286,-2.4444666666666666,-2.446204599123692,-1.5921333333333332,-1.5921092563334043,0.0,-5.1920485886181805e-05,0.11708845809199375,0.181919,0.05
9,1.4065,1.6753326980959953,-0.7417333333333334,-0.7417861056291886,1.5599999999999998,1.7638454278130047,-2.445866666666667,-2.4461540663797554,-1.5903333333333334,-1.5903203531709638,0.0,-1.6437187783011236e-05,0.1377340818558328,0.21403,0.05
10,1.3743666666666663,1.6752529673231187,-0.7265,-0.7265615976951871,1.5130666666666668,1.7615657479280726,-2.4422333333333337,-2.4425085869532754,-1.5877666666666668,-1.587756856072354,0.0,-1.2762108519037202e-05,0.15931333859642677,0.247133,0.05
11,1.3437333333333334,1.675690118731767,-0.7086666666666667,-0.7087257221808339,1.4606666666666666,1.7582736792606923,-2.4334000000000002,-2.4345957618642298,-1.5846333333333333,-1.5846218763297595,0.0,-2.4252071785535975e-05,0.1820103821995776,0.281471,0.05
12,1.3145666666666667,1.6757430908066941,-0.6886333333333333,-0.6950812296785077,1.4039333333333335,1.7556286957304656,-2.420833333333334,-2.421445699507673,-1.5816333333333332,-1.579848035154889,0.0,-0.0024170651314685066,0.20582719983004855,0.315088,0.05
13,1.2868666666666668,1.675752245022736,-0.6657000000000001,-0.696524071902965,1.3417999999999999,1.7559288104926476,-2.4050333333333334,-2.405762737143534,-1.5787000000000002,-1.5767309543869124,0.0,-0.002672212081739031,0.232270079157154,0.345328,0.05
14,1.2605666666666666,1.6756623906864627,-0.6396333333333334,-0.7001632696835496,1.2739,1.7567524458118216,-2.386366666666667,-2.386950890869116,-1.5758,-1.573764830727435,0.0,-0.002758263426147963,0.26112797276736194,0.375312,0.05
15,1.2356,1.6755360625500468,-0.6101000000000001,-0.703705049071416,1.1997,1.7575692192266763,-2.365133333333333,-2.365513645357021,-1.5728333333333333,-1.571032865854638,0.0,-0.0024398867666125396,0.29255570679561566,0.405516,0.05
16,1.2193666666666667,1.6755696894925471,-0.5849333333333333,-0.7066757751770104,1.1455666666666666,1.7579730449186464,-2.342,-2.3426878853276043,-1.5705,-1.5678236378076136,0.0,-0.003632797412024971,0.31570155358689755,0.425068,0.015
17,1.2114,1.6754342190816907,-0.5652,-0.7099724908014861,1.1137333333333335,1.7586585642160997,-2.318966666666667,-2.319629074547385,-1.5688666666666666,-1.5660464994052492,0.0,-0.0038319615007868834,0.32970655135977517,0.433759,0.015
18,1.2113333333333334,1.6753195758876107,-0.5521,-0.7128837377509348,1.1065666666666667,1.7591578042289764,-2.2979000000000003,-2.2977945256980856,-1.5680666666666667,-1.5655313146127217,0.0,-0.003446419515770962,0.33342369276243006,0.431785,0.015
19,1.2112666666666667,1.6748985794911293,-0.5387,-0.7151662470858527,1.0996333333333335,1.7600080020507578,-2.280066666666667,-2.286175007475042,-1.5674666666666666,-1.5725835265752044,0.0,0.006961234722096334,0.3372194001203307,0.428917,0.015
20,1.2112333333333334,1.675087674596027,-0.5249999999999999,-0.7175894720579079,1.0928333333333333,1.7593808092907433,-2.265166666666667,-2.2701479596906644,-1.5670333333333335,-1.5703392899357929,0.0,0.004453683595240665,0.3407327081178148,0.427131,0.015
21,1.2112,1.6751111965550518,-0.511,-0.7188376996939353,1.0861333333333334,1.7593977234027198,-2.2528666666666664,-2.2598587831759107,-1.5667333333333335,-1.5725869546285969,0.0,0.007833871770132261,0.34444147320001195,0.425219,0.015
22,1.2112,1.6750279148504184,-0.49676666666666663,-0.7199545762205052,1.0795333333333332,1.7595757751421528,-2.2429,-2.2498491458230223,-1.5665333333333333,-1.5725396411150732,0.0,0.008042222395061874,0.34822309513889976,0.423659,0.015
23,1.2112,1.6749849707195976,-0.4822666666666667,-0.7208165750815037,1.0729666666666666,1.7597069763556874,-2.2350333333333334,-2.2416459977815872,-1.5664333333333333,-1.5702344948844056,0.0,0.005109155261630702,0.352065119556408,0.422422,0.015
24,1.2112,1.6748253405342441,-0.46756666666666663,-0.7214511081731629,1.066366666666667,1.759778762826543,-2.2290666666666663,-2.2364242031856083,-1.5664,-1.5732962446662857,0.0,0.009217098529144289,0.35599923866136135,0.420813,0.015
