waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,1.2277,1.2269626232529174,-0.57455,-0.5743889339743381,1.0859,1.0856656711460206,-2.1713,-2.171508867970186,-1.5707,-1.5707282068720267,0.0,5.08709013733507e-08,0.0003339157086139831,0.000612,0.05
1,1.2438333333333333,1.243036355855523,-0.5803333333333334,-0.5801807071958551,1.0942,1.0939815211813382,-2.1641666666666666,-2.164352820501818,-1.5696333333333332,-1.5696614423902406,0.0,4.9612773671851505e-08,0.000351578394308085,0.000657,0.05
2,1.2762333333333336,1.2754539059568046,-0.5912,-0.5909176051136397,1.1098,1.1093950469422422,-2.1508333333333334,-2.151178201211792,-1.5675666666666668,-1.567620346691076,0.0,3.286388132038937e-08,0.00040271087349892464,0.000658,0.05
3,1.3091666666666666,1.308390613311055,-0.6002333333333333,-0.5999945491450376,1.1224666666666667,1.1221320332017215,-2.140333333333334,-2.1406097108932154,-1.5656333333333332,-1.565684255617787,0.0,3.220266839434694e-08,0.0003764381071071248,0.000645,0.05
4,1.3425333333333331,1.3417478260560878,-0.6072666666666667,-0.6070802470509823,1.1320666666666666,1.131812340049964,-2.1322666666666668,-2.13247918551375,-1.5638000000000003,-1.5638482834508443,0.0,2.6714804853928896e-08,0.0003568266470770393,0.000644,0.05
5,1.3763000000000003,1.3755134643863138,-0.6123,-0.6121661380315578,1.1385666666666667,1.138393755905279,-2.1263,-2.126457188099242,-1.5620333333333332,-1.5620798398814535,0.0,2.4333256021969334e-08,0.000339932931558912,0.000637,0.05
6,1.4103666666666668,1.409571868014377,-0.6153666666666667,-0.6152844663708968,1.1419,1.1418102401511752,-2.1220666666666665,-2.1221779309494067,-1.5603333333333333,-1.5603780929745021,0.0,2.60983815547911e-08,0.00033188898333121546,0.000637,0.05
7,1.4446666666666668,1.4438665556562724,-0.6164333333333333,-0.616403671684055,1.1420333333333332,1.14202762214787,-2.119266666666667,-2.119340128745983,-1.5587,-1.558743005502311,0.0,2.3844549701577814e-08,0.00032871877821997607,0.000637,0.05
8,1.4791,1.478290607087957,-0.6155333333333333,-0.6155553643244169,1.1388666666666667,1.1389475871269854,-2.1176,-2.117643486657164,-1.5571333333333335,-1.5571745871585811,0.0,2.284378344698203e-08,0.00033310242156199234,0.000641,0.05
9,1.5136,1.512785266874571,-0.6126333333333333,-0.6127079472681597,1.1323333333333332,1.1325026582304507,-2.1168333333333336,-2.116853269423314,-1.5556,-1.5556403443090265,0.0,1.659589179818099e-08,0.0003415780381688325,0.000645,0.05
10,1.5480666666666665,1.5472432741906215,-0.6077333333333333,-0.6078604659041668,1.1223333333333334,1.1225936680506996,-2.1167333333333334,-2.116735489842974,-1.5541333333333334,-1.5541719527719933,0.0,1.8031900988721737e-08,0.0003566997189845111,0.000652,0.05
11,1.5710666666666668,1.5696626649510863,-0.5997,-0.5999084260498476,1.1141333333333334,1.114349917902098,-2.1164,-2.1164065738843383,-1.5535333333333332,-1.553549772008431,0.0,3.9897693250202894e-08,0.0005862144884228435,0.001117,0.015
12,1.5827,1.5822049623579284,-0.5881333333333334,-0.5884701388471005,1.1074333333333335,1.1076103978982939,-2.1161,-2.116106135676868,-1.5541333333333334,-1.5541184697812558,0.0,3.4488821739077524e-08,0.00025498714158326326,0.000434,0.015
13,1.5828666666666666,1.5828497683210123,-0.5749333333333334,-0.5754574194365355,1.1052,1.1052617061861962,-2.1155666666666666,-2.1155789024586644,-1.5555333333333332,-1.5554971807712328,0.0,3.1905501742335305e-08,0.0002161080649584438,0.000389,0.015
14,1.583,1.5829961862958977,-0.5614333333333333,-0.5619880822710347,1.1026999999999998,1.1027655796783664,-2.1158333333333332,-2.115825570325143,-1.5568333333333335,-1.5567991803603256,0.0,2.5708188934973087e-08,0.000228505402181502,0.00041,0.015
15,1.5831,1.5830973775232828,-0.5478666666666666,-0.5484291436842736,1.1003333333333334,1.1003955988397662,-2.1172999999999997,-2.1172608731993328,-1.5579666666666665,-1.5579368359004369,0.0,2.8397635390902042e-08,0.00023190696696530396,0.000415,0.015
16,1.5831999999999997,1.5831974066580121,-0.534,-0.5345770488544734,1.0975333333333335,1.0976066073302981,-2.1194666666666664,-2.119408851172597,-1.559,-1.5589728372839515,0.0,2.7937546166627358e-08,0.00023890082662793158,0.00042,0.015
17,1.5833666666666666,1.583362369062815,-0.5192333333333333,-0.5198556797648729,1.0936666666666668,1.0937675291476558,-2.1231666666666666,-2.1230690327861264,-1.5602,-1.5601686410293942,0.0,2.982991470914347e-08,0.0002607753026639398,0.000441,0.015
18,1.583433333333333,1.5834315518400333,-0.5053666666666666,-0.5059477697249927,1.0909000000000002,1.0909734087461802,-2.1265666666666667,-2.1264756853158957,-1.5610333333333333,-1.5610112523015147,0.0,2.9793568383913703e-08,0.00024215627226095097,0.000421,0.015
