waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,1.4276,1.4267991761678038,-0.8431500000000001,-0.8431398564107507,1.6157,1.6157189824153706,-2.388,-2.388061695333146,-1.57455,-1.5746191952236461,0.0,5.5774784901143985e-08,0.00032923556180132414,0.000542,0.05
1,1.4472333333333331,1.4463772745959995,-0.8428333333333334,-0.8428409481127912,1.6138000000000001,1.6138491259498335,-2.3858,-2.38585661087396,-1.5719999999999998,-1.5720671228679768,0.0,5.6153994259994274e-08,0.00035190391188213077,0.000578,0.05
2,1.4865333333333333,1.4853200268889908,-0.8415333333333334,-0.8415464639695535,1.6089333333333335,1.6089836710497265,-2.3816333333333333,-2.381675145760737,-1.5671,-1.5671509436866897,0.0,5.8082316673174483e-08,0.000496514915662941,0.000818,0.05
3,1.5259666666666665,1.5173545492303449,-0.8382999999999999,-0.8383338149147325,1.6007333333333333,1.6008157081530041,-2.3781333333333334,-2.3781561130364617,-1.5627666666666666,-1.5628113769842247,0.0,-1.682988445363835e-07,0.0035161298267665517,0.005813,0.05
4,1.5653666666666668,1.5158790582293311,-0.8331666666666666,-0.8332207373074598,1.5893666666666666,1.5894790954767055,-2.375033333333333,-2.3750317157436895,-1.5589666666666666,-1.5590056582223764,0.0,-3.801373459222042e-07,0.020203302023106263,0.033578,0.05
5,1.6045666666666667,1.5144409190107302,-0.8261666666666666,-0.8261830308751842,1.5748333333333333,1.5748707779621498,-2.372133333333333,-2.3720402584012867,-1.5556333333333334,-1.5556293849976586,0.0,-2.449031276972419e-06,0.03679370585883582,0.06155,0.05
6,1.6435000000000002,1.5137877897714664,-0.8172999999999999,-0.8173264564253407,1.5570666666666666,1.5571956525793265,-2.369266666666667,-2.3694103745783686,-1.5527,-1.5526927507968176,0.0,-1.150970428241131e-06,0.05295484794539433,0.089271,0.05
7,1.6820000000000002,1.514859289448585,-0.8066,-0.8066025265813879,1.5360333333333334,1.5360225503365772,-2.3663,-2.366187787739316,-1.5500999999999998,-1.5501000471987731,0.0,-3.9858634128612306e-07,0.06823492487727124,0.116076,0.05
8,1.72,1.5193497068318342,-0.7940666666666667,-0.7940652268925735,1.5117,1.5116581949857493,-2.3630666666666666,-2.36285308395025,-1.5477999999999998,-1.5478013828959445,0.0,-8.119274623224684e-07,0.08191518735695619,0.140772,0.05
9,1.7453333333333336,1.5263513985395984,-0.7797999999999999,-0.7797831845408346,1.4923666666666666,1.4921570957580648,-2.3581666666666665,-2.3571014582424445,-1.5473999999999999,-1.547406086193051,0.0,-3.833742919213446e-06,0.0894000994494781,0.154794,0.015
10,1.758,1.5322603338452991,-0.7653666666666666,-0.7653518382758865,1.4809666666666665,1.480776984372506,-2.3529999999999998,-2.3520431362071728,-1.5482333333333334,-1.548237108538458,0.0,-4.833698127998313e-06,0.09215869347745093,0.16019,0.015
11,1.7583666666666666,1.5354498885299417,-0.7501666666666668,-0.7501455266062118,1.4768333333333334,1.4764823552392443,-2.3477333333333337,-2.345991604042897,-1.5506,-1.5506047856776712,0.0,-9.933956610715571e-06,0.09100828474182071,0.158258,0.015
12,1.7585333333333333,1.538124343525052,-0.7357999999999999,-0.7357950069385668,1.4744333333333335,1.4741456627360792,-2.3444333333333334,-2.3425950401274003,-1.5523333333333333,-1.5523338149804535,0.0,-9.98367326837177e-06,0.08998479963251842,0.156428,0.015
13,1.7588,1.5423098077174369,-0.7201666666666666,-0.7201720431743363,1.4705000000000001,1.4702647423912667,-2.3422666666666667,-2.3406095342922084,-1.5542999999999998,-1.5542988095563839,0.0,-8.828072206109123e-06,0.08838439237845194,0.153695,0.015
14,1.7589,1.54494583017305,-0.7054333333333335,-0.7054332826796612,1.4679,1.4675721446341812,-2.3413333333333335,-2.3392732313361555,-1.5556999999999999,-1.5556998284824308,0.0,-1.0148354513672282e-05,0.0873505756504024,0.151849,0.015
15,1.7591,1.562197158183514,-0.6893333333333334,-0.6893318476339882,1.463733333333333,1.4572880352060942,-2.3418666666666668,-2.341897253342526,-1.5572666666666668,-1.557266897038611,0.0,1.9229951962256342e-07,0.08042830339418174,0.140452,0.015
16,1.7591999999999999,1.6624643738910536,-0.6740333333333334,-0.6740869717098967,1.4605333333333335,1.452230407011883,-2.343,-2.343696406586778,-1.5583666666666665,-1.5583589073127608,0.0,-6.3546498720792626e-06,0.039638381870749084,0.069523,0.015
17,1.7594,1.66182456198666,-0.6574,-0.6740685232421962,1.4559333333333333,1.4523037681967221,-2.345833333333333,-2.3478454365831145,-1.5596333333333334,-1.559633222113154,0.0,-1.3575808548250198e-07,0.04044755467097749,0.071333,0.015
18,1.7594666666666667,1.6614974433799952,-0.6417,-0.6736944446313827,1.4523333333333335,1.4521006701183465,-2.3486666666666665,-2.349994334574008,-1.5605,-1.560520879705074,0.0,1.3381194605198478e-05,0.04207816268154336,0.074029,0.015
19,1.7596333333333334,1.6610078607255523,-0.6246666666666667,-0.6398232488703944,1.4473,1.4458143311390055,-2.3534,-2.35479377977397,-1.5614999999999999,-1.5615020572448373,0.0,4.936872537204066e-10,0.040744847669084996,0.071583,0.015
20,1.7597333333333334,1.6606279298949111,-0.6078333333333333,-0.6227572448707068,1.4425666666666668,1.4422560450152495,-2.3588666666666667,-2.358791812990262,-1.5624,-1.5623987265886625,0.0,-2.165536704020905e-08,0.04091598346362341,0.071713,0.015
21,1.7598333333333336,1.6603819667015727,-0.5910000000000001,-0.6021068919012089,1.4376666666666669,1.437307246893333,-2.3647333333333336,-2.3641461633698597,-1.5632333333333335,-1.5632336388010106,0.0,1.9328473706868713e-06,0.040854235454843485,0.071516,0.015
22,1.7599,1.6603075658722943,-0.5796,-0.5876501281088253,1.4343666666666666,1.4340562501325615,-2.3696333333333333,-2.367891587924984,-1.5639,-1.563905084435051,0.0,8.557147554871904e-06,0.040797441979896855,0.071294,0.015
23,1.7600333333333333,1.660423627667887,-0.5794333333333334,-0.5876329352387986,1.4351666666666667,1.434033640715967,-2.3738,-2.374435574932396,-1.5648333333333333,-1.564833912136515,0.0,1.2621353386975396e-10,0.04080648363066754,0.071478,0.015
24,1.7602666666666664,1.6604615817656148,-0.5897333333333333,-0.5877214389725243,1.4393,1.4340681246548876,-2.3778666666666664,-2.37857362192656,-1.5661666666666667,-1.5661671508879993,0.0,1.1407390314835639e-10,0.04081048679899555,0.071388,0.015
25,1.7604999999999997,1.6604771735307156,-0.6055,-0.5877404486129886,1.4451,1.4340614869263322,-2.381066666666667,-2.3818125621764326,-1.5675666666666668,-1.5675670015198828,0.0,9.688115995207934e-11,0.04171804687716813,0.072076,0.015
26,1.7606333333333335,1.660484317839162,-0.6218666666666667,-0.5877311181436112,1.4509333333333334,1.4340159328900655,-2.3827333333333334,-2.3835197252259435,-1.5687333333333333,-1.5687335317128694,0.0,8.045336074864734e-11,0.0437452432222211,0.0739,0.015
27,1.7607666666666664,1.6604865765059738,-0.6375000000000001,-0.5877184544318809,1.4555,1.4339477593152825,-2.3833,-2.3841119317978614,-1.5696,-1.5696000864445372,0.0,6.579897735611845e-11,0.04654649480818653,0.076782,0.015
28,1.7608333333333333,1.6604862895826966,-0.6543,-0.5877017668328235,1.4609666666666667,1.4338545266109846,-2.3826666666666667,-2.383503216432817,-1.5704666666666667,-1.5704666342081997,0.0,4.9088633967878504e-11,0.05039944081103979,0.080851,0.015
29,1.7609333333333332,1.6604826040185907,-0.6698333333333334,-0.5876843564177097,1.4647333333333332,1.4337540954729242,-2.3816,-2.382430059801274,-1.5710666666666668,-1.57106655128938,0.0,3.521700580172653e-11,0.054465900044349085,0.085676,0.015
30,1.761,1.6604777566965174,-0.6856666666666666,-0.5876652395680168,1.4684666666666668,1.4336419265903426,-2.3798999999999997,-2.380726962227672,-1.5716,-1.5715998116981564,0.0,2.2535215888093835e-11,0.05905145708064213,0.091354,0.015
31,1.7610666666666666,1.6604689844343115,-0.7007333333333333,-0.5876455558863497,1.4710999999999999,1.433522695907121,-2.3781,-2.3788738931585054,-1.572,-1.571999772592855,0.0,1.1857341150618636e-11,0.06366761575031896,0.09756,0.015
32,1.7611333333333334,1.6604596840351704,-0.7161333333333334,-0.5876250017359654,1.473766666666667,1.4333914360791993,-2.375633333333333,-2.3763633082006574,-1.5723666666666667,-1.5723664081676099,0.0,2.756869580724672e-12,0.06865404462631648,0.104431,0.015
33,1.7611666666666668,1.6604481838304372,-0.7314666666666666,-0.5876037726430287,1.4760333333333333,1.4332481627315483,-2.3726333333333334,-2.373308850224249,-1.5727,-1.5726997240484706,0.0,-4.942365859726571e-12,0.07379224463345076,0.111786,0.015
34,1.7611999999999999,1.6604360599864425,-0.7466,-0.5875831188015852,1.4778333333333336,1.433099934397719,-2.3691333333333335,-2.3697587633217725,-1.5729666666666666,-1.5729663843321868,0.0,-1.05526523355331e-11,0.07899494525623096,0.119516,0.015
35,1.7611999999999999,1.6604262857560173,-0.7615333333333334,-0.5875996060401523,1.4791,1.433012820647563,-2.365133333333333,-2.3657229407847225,-1.5732,-1.5731997120294363,0.0,-1.52546237577084e-11,0.08419487188493127,0.127562,0.015
36,1.7577666666666667,1.660400659299782,-0.7882333333333333,-0.5876798960276729,1.5063666666666666,1.4329023423510814,-2.3534,-2.3537918856784557,-1.5748,-1.5747997061144192,0.0,-2.93495420711088e-11,0.09582882406257921,0.133356,0.05
37,1.7506333333333333,1.6606428150710237,-0.8256333333333333,-0.5874920835241663,1.5589000000000002,1.4331394665497612,-2.3371999999999997,-2.3370776291268136,-1.5775333333333332,-1.5775333335921968,0.0,2.75414608675637e-10,0.11592042887696029,0.137915,0.05
38,1.7394999999999998,1.6608151534868907,-0.8733333333333334,-0.5872052775926621,1.6365333333333334,1.4335717905249818,-2.3193,-2.3191187166203977,-1.5812000000000002,-1.5812000005626416,0.0,6.142973606028279e-10,0.1467730618310335,0.144,0.05
39,1.7273666666666667,1.6605656427840612,-0.9190999999999999,-0.5870307524313659,1.7126000000000001,1.4340198102424133,-2.3093333333333335,-2.310187495444989,-1.5843,-1.5842999944505438,0.0,-5.216119429777197e-09,0.17904376266286096,0.153654,0.05
40,1.7141333333333335,1.6604947602745073,-0.9638666666666666,-0.5870036159578229,1.7877333333333334,1.4338120496194207,-2.3061000000000003,-2.3068904999941138,-1.587,-1.58699999381111,0.0,-5.793837456467954e-09,0.2121963538271838,0.166663,0.05
41,1.7047666666666668,1.6606956835657665,-0.9875333333333334,-0.5871508740067082,1.8382333333333334,1.4331395906055464,-2.310866666666667,-2.3106887712312374,-1.5877999999999999,-1.5878000008816269,0.0,9.890612749523956e-10,0.2332199738915705,0.174888,0.015
42,1.6997,1.6606289160382703,-0.9902333333333333,-0.5881860470916628,1.8642333333333336,1.4330705584643986,-2.3216,-2.321458982400574,-1.5869333333333333,-1.5869333340114868,0.0,7.498774053381288e-10,0.24120182707118937,0.176414,0.015
43,1.6993333333333334,1.6605870439269306,-0.9721333333333333,-0.5896673871238087,1.8659000000000001,1.4331047781535613,-2.3366000000000002,-2.3364959466700945,-1.5846,-1.5846000004421812,0.0,4.777084081496585e-10,0.23632364454737181,0.170504,0.015
44,1.6990333333333334,1.6604047161143654,-0.9536666666666666,-0.5911413059816659,1.8671666666666666,1.4334133182425073,-2.3521666666666667,-2.35255158329079,-1.5826,-1.5825992088064735,0.0,-1.618874234501564e-10,0.2313218978820938,0.165228,0.015
45,1.6988,1.6604085090115075,-0.9349333333333334,-0.5925082597258234,1.8680666666666668,1.4335315484555928,-2.3682333333333334,-2.3686450310615905,-1.5809,-1.5808992664290058,0.0,-1.3491567092777015e-10,0.22640295053646337,0.160686,0.015
46,1.6986,1.6604085495218772,-0.9159,-0.5939192879091665,1.8685333333333336,1.4336529877958157,-2.3847,-2.3850636472357194,-1.5794666666666666,-1.5794661020458758,0.0,-8.839545790963432e-11,0.2214539880812735,0.156907,0.015
47,1.6984333333333332,1.6604132390927688,-0.8966,-0.5953876348764914,1.8686,1.4338162313910932,-2.4015,-2.401851833271854,-1.5782666666666667,-1.5782661872784922,0.0,-6.037368954762083e-11,0.2164915185798294,0.153974,0.015
48,1.6983,1.6604157993083644,-0.8770333333333333,-0.5969076241384883,1.8682333333333332,1.4340200551040598,-2.418566666666667,-2.4188735909788304,-1.5772666666666666,-1.5772662965303643,0.0,-3.361086177195294e-11,0.21152103552099405,0.151943,0.015
49,1.6982,1.6604196464537657,-0.8572000000000001,-0.5984925786959218,1.8674333333333333,1.4342988119035192,-2.435866666666667,-2.436133197360175,-1.5764333333333334,-1.5764330461815863,0.0,-1.5579606962381705e-11,0.20654397015519135,0.15086,0.015
50,1.6981000000000002,1.6604247365427252,-0.8371333333333334,-0.6001352156015929,1.8661333333333332,1.4346520570634618,-2.453333333333333,-2.4535634440548324,-1.5757333333333332,-1.575733109841912,0.0,-3.5689639433224315e-12,0.201562098788204,0.150728,0.015
51,1.6979999999999997,1.6604310867833003,-0.8168333333333333,-0.6018326817060574,1.864366666666667,1.4350809444275148,-2.4709333333333334,-2.4711306892944322,-1.5751333333333335,-1.5751331592684552,0.0,4.250056144468475e-12,0.19660577039184843,0.151573,0.015
52,1.6979,1.6604385562986488,-0.7963,-0.6035797172041034,1.8621333333333332,1.4355831349050796,-2.4886333333333335,-2.488800821238148,-1.5746333333333336,-1.574633197723486,0.0,9.001917256097253e-12,0.1916983598419311,0.153392,0.015
53,1.6978333333333333,1.6604471086821768,-0.7755666666666667,-0.605371763237636,1.8594333333333333,1.4361578432666877,-2.5063999999999997,-2.5065402119934057,-1.5742,-1.5741998950257639,0.0,1.157883058074787e-11,0.18687170068323034,0.156163,0.015
