waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,1.6672,1.6605229040881322,-0.64255,-0.6130314610117178,1.47995,1.4390877291760131,-2.5545,-2.5560908298977787,-1.57675,-1.576743336095213,0.0,7.074983872645796e-08,0.02076930312941101,0.01436,0.05
1,1.6742,1.6605433203268567,-0.6711999999999999,-0.6130028169117893,1.5195,1.4390145694621543,-2.5394,-2.540330305340576,-1.5772666666666666,-1.5772665244470134,0.0,-2.7916774835186542e-09,0.04093121672596374,0.028654,0.05
2,1.6885999999999999,1.6605719903302756,-0.7278666666666668,-0.6129574653991807,1.5976,1.4389017067232421,-2.5117333333333334,-2.512282529512004,-1.5781666666666665,-1.5781666631913667,0.0,-2.3958544280953416e-09,0.08080340727900061,0.057679,0.05
3,1.704133333333333,1.660589772272954,-0.7826333333333334,-0.6129121467554597,1.6725,1.4387599558176396,-2.4917,-2.492140202076565,-1.5786999999999998,-1.578699339692955,0.0,-7.250905630762137e-12,0.11925876970960839,0.086803,0.05
4,1.7209333333333332,1.6605926099369468,-0.836,-0.6128700019071476,1.7447333333333332,1.438604078160559,-2.478033333333333,-2.4784798007098314,-1.5789333333333333,-1.5789326505672936,0.0,-2.1985111004968714e-11,0.15660104254396348,0.116072,0.05
5,1.7391333333333332,1.6605859568284889,-0.8884,-0.6128258511872575,1.8145,1.4384322293894942,-2.4696,-2.470049284141182,-1.5789333333333333,-1.578932649022022,0.0,-2.928976846260312e-11,0.19301898516222227,0.145483,0.05
6,1.7589,1.66057522812134,-0.9401999999999999,-0.6127797435615696,1.882,1.438256718807709,-2.4654333333333334,-2.465867425894211,-1.5787333333333333,-1.578732688097252,0.0,-2.9021538037731055e-11,0.22868467122920824,0.175046,0.05
7,1.7805666666666669,1.6605645030503284,-0.9910333333333332,-0.6127364259996603,1.9460666666666668,1.4380940488805836,-2.4633333333333334,-2.463745303533542,-1.5783666666666667,-1.578366080406598,0.0,-2.464328175879385e-11,0.26316833000668977,0.204424,0.05
8,1.8041666666666665,1.660555665903416,-1.0423333333333333,-0.6127069013379934,2.0086999999999997,1.4379785430860554,-2.4638,-2.4641876305500943,-1.5778333333333332,-1.5778328164696918,0.0,-1.708770771043702e-11,0.29746880011438576,0.234166,0.05
9,1.8300666666666665,1.6605473955501189,-1.0931,-0.6126795503386911,2.067833333333333,1.4378708951860908,-2.464733333333333,-2.465096357725237,-1.5770333333333333,-1.5770328980826607,0.0,-7.926928388545322e-12,0.33075504455613286,0.263677,0.05
10,1.8478999999999999,1.6605391843626278,-1.1208666666666667,-0.6129297859883882,2.1080666666666663,1.4378294350668517,-2.469533333333333,-2.4698592562348347,-1.5761333333333332,-1.5761329910067503,0.0,2.148328198235696e-12,0.35173901376776495,0.282867,0.015
11,1.8572,1.6605333922754417,-1.1236333333333333,-0.6134611001769993,2.1273333333333335,1.4378827063528683,-2.4768666666666665,-2.4771540480625727,-1.5752,-1.5751997420168182,0.0,1.0290297812668428e-11,0.3592343041594385,0.291106,0.015
12,1.857,1.6605309937146895,-1.1023666666666667,-0.6144304515770483,2.1283333333333334,1.4380868739801365,-2.4881,-2.4883455264870062,-1.5744666666666667,-1.574466474792668,0.0,1.542954656507912e-11,0.3542885018737406,0.289261,0.015
13,1.8568999999999998,1.6605311483823377,-1.0801333333333334,-0.615574285251672,2.1283,1.4383841317490746,-2.500633333333333,-2.5008406527784595,-1.5738333333333332,-1.573833191744963,0.0,1.796016172477044e-11,0.34889343723788097,0.287621,0.015
14,1.8568,1.6605334820619573,-1.0575666666666665,-0.6168686700630042,2.128,1.438773214999657,-2.5142333333333338,-2.514405882867385,-1.5733333333333333,-1.5733333329214607,0.0,-3.125935207770533e-10,0.3434552035829555,0.286455,0.015
