waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,1.6672500000000001,1.661220081071454,-0.7108,-0.6729576950795212,1.4840499999999999,1.4545246849342157,-2.5996,-2.6027587361926128,-1.5725500000000001,-1.5725499055596683,0.0,-5.6212668123707536e-08,0.019791083042874615,0.017947,0.05
1,1.6742333333333335,1.6613226495948896,-0.7373333333333333,-0.6728527434179373,1.5218333333333334,1.4543403789392682,-2.5763333333333334,-2.579315063053188,-1.5732333333333335,-1.5732321925843913,0.0,-2.9453107692198723e-09,0.0384894397566712,0.02956,0.05
2,1.6885999999999999,1.6613985585248328,-0.7894666666666666,-0.6726495862649137,1.5964333333333334,1.4540621148075554,-2.5332000000000003,-2.534588733167711,-1.5744666666666667,-1.5744666595082644,0.0,-1.7294353243079422e-09,0.07600179947019076,0.055814,0.05
3,1.704,1.6614820910367685,-0.8392333333333334,-0.6724484143517531,1.6693999999999998,1.4536750645724177,-2.500033333333333,-2.501258096843297,-1.5754000000000001,-1.5753999942356076,0.0,-1.7538227558569842e-09,0.11266745285217894,0.083118,0.05
4,1.7207666666666668,1.6615123018393647,-0.8861333333333334,-0.6722527152710629,1.7392,1.4531752210600977,-2.4760333333333335,-2.4773745674622036,-1.5761,-1.5760999931790496,0.0,-2.117681390955201e-09,0.14779939761401512,0.110693,0.05
5,1.7389666666666665,1.6615016500529616,-0.9314,-0.6720689960230356,1.8068666666666664,1.4526110083476345,-2.4591,-2.460529041322087,-1.5766333333333333,-1.5766333256581353,0.0,-2.4134057364946955e-09,0.18200389740919146,0.138682,0.05
6,1.7588,1.6614677248764496,-0.9754,-0.6718700331218375,1.8724999999999998,1.4519270953345018,-2.4476,-2.4490373678528727,-1.5769666666666666,-1.5769666587111264,0.0,-2.521511262385792e-09,0.21544049709796267,0.167045,0.05
7,1.7803666666666667,1.6614235263676636,-1.0191000000000001,-0.6716749820726238,1.9368666666666667,1.4512115540297235,-2.439833333333333,-2.4412243633042587,-1.577,-1.576999992363807,0.0,-2.4326839080451755e-09,0.24856737420023844,0.195949,0.05
8,1.8039666666666667,1.6613727600787307,-1.0619666666666667,-0.6714732377510708,1.9992333333333334,1.4504539859273065,-2.4354666666666667,-2.436762934573034,-1.5766666666666669,-1.5766666599448358,0.0,-2.147227163648488e-09,0.28106303939156263,0.225111,0.05
9,1.8298333333333332,1.6613245761969022,-1.1040333333333334,-0.6712968040325896,2.0595666666666665,1.4497774843793885,-2.4340666666666664,-2.4352513528653206,-1.5759666666666667,-1.5759666611960446,0.0,-1.747854149822179e-09,0.31291648388957677,0.254448,0.05
10,1.8477666666666668,1.6612614877519347,-1.1252000000000002,-0.6710868355355426,2.100233333333333,1.4489621949055542,-2.4381999999999997,-2.4392006854458517,-1.5751666666666668,-1.5751666626465763,0.0,-1.2775405251593808e-09,0.33295596431117747,0.273954,0.015
11,1.8570666666666664,1.6612141115949075,-1.1250333333333333,-0.6713336515323322,2.1210666666666667,1.448420771650903,-2.447433333333333,-2.4482582050536625,-1.5744,-1.5743999971348577,0.0,-8.999639836026537e-10,0.34074790414845274,0.283423,0.015
12,1.8568999999999998,1.6611861938236787,-1.1036666666666666,-0.672122494047366,2.122666666666667,1.4481334128744427,-2.4612,-2.4618716892335426,-1.5738333333333332,-1.5738333312389983,0.0,-6.483279992331697e-10,0.3365337596952324,0.283145,0.015
13,1.8568,1.6611641694398658,-1.0814,-0.6731269623897818,2.1232,1.4480356356789137,-2.4761,-2.476632025649243,-1.5733333333333333,-1.5733333318429519,0.0,-4.5201964119827845e-10,0.33186529730670755,0.283092,0.015
14,1.8567333333333333,1.6611520291224695,-1.0588,-0.6743175768721472,2.123366666666667,1.4481140470475622,-2.4918333333333336,-2.4922501533974035,-1.5729333333333333,-1.5729333322657855,0.0,-3.1652366553201e-10,0.3271200223904872,0.283523,0.015
15,1.8566666666666667,1.6611477555047625,-1.0359,-0.6756746376098325,2.1231666666666666,1.448353999161751,-2.5083,-2.508620242432786,-1.5726333333333333,-1.572633332564106,0.0,-2.2272743970739968e-10,0.3223254553789229,0.284445,0.015
16,1.8566333333333336,1.6611501972667828,-1.0127,-0.6771803330601956,2.122566666666667,1.4487451853123507,-2.5254,-2.5256378385241725,-1.5724333333333333,-1.5724333327793434,0.0,-1.5675712961884414e-10,0.3174960757477956,0.285873,0.015
17,1.8566,1.6611585515594738,-0.9892,-0.6788244028582238,2.121566666666667,1.4492790668814217,-2.5430666666666664,-2.54323196471512,-1.5723000000000003,-1.5722999996168923,0.0,-1.0605143610119097e-10,0.31265023461212366,0.287809,0.015
18,1.8566,1.6611721593224216,-0.9654333333333334,-0.6805940122890116,2.1201333333333334,1.4499491562582127,-2.5612333333333335,-2.561334422755014,-1.5721999999999998,-1.572199999763537,0.0,-6.406432041082422e-11,0.30780738596992196,0.290254,0.015
19,1.8566,1.6611906656768551,-0.9414000000000001,-0.682472911215862,2.118233333333333,1.4507485380567513,-2.5798,-2.5798400619789157,-1.5721333333333334,-1.5721333332373602,0.0,-2.547458201097844e-11,0.3029752461773145,0.293186,0.015
20,1.8566,1.6612205260619928,-0.9171333333333335,-0.6843989590214181,2.115866666666667,1.4516104183566592,-2.598666666666667,-2.598688182990434,-1.5721,-1.5720999999461844,0.0,-1.4086007776562365e-11,0.29820987902943175,0.296612,0.015
21,1.8566,1.6612695320228028,-0.8926666666666666,-0.6862622107542471,2.113,1.4523609818152572,-2.6178000000000003,-2.617750202977432,-1.5721,-1.5721000001308183,0.0,3.346401767121209e-11,0.2935985654961939,0.300539,0.015
22,1.8566,1.6613162037557043,-0.8680333333333334,-0.6881513551046666,2.1096666666666666,1.4531551072853783,-2.6371333333333333,-2.6370117349763875,-1.5721333333333334,-1.5721333336728587,0.0,8.492046544724187e-11,0.2891080333123627,0.304931,0.015
23,1.8566,1.6613449835080494,-0.8515666666666667,-0.6893644179074285,2.1072666666666664,1.4537024034531023,-2.6501,-2.6499310938293905,-1.5721666666666667,-1.572166667159293,0.0,1.213676816233605e-10,0.2862342763212823,0.308121,0.015
